,อันดับ,รุ่นCPU,ราคา
52,53,ASROCK A520M-HVS,"2,000.-"
53,54,ASRock WRX80 Creator,"38,140.-"
54,55,ASUS Prime B560M-A,"3,130.-"
55,56,MSI PRO H610M-E DDR4,"2,535.-"
56,57,ASUS EX-B660M-V5 PRO D4,"3,265.-"
57,58,ASUS ROG Maximus Z790 Apex,"27,390.-"
58,59,ASRock B650E Steel Legend WiFi,"11,100.-"
59,60,GIGABYTE B650M DS3H,"5,880.-"
60,61,GIGABYTE B650M AORUS Elite,"9,300.-"
61,62,GIGABYTE B650 Aero G,"8,825.-"
62,63,GIGABYTE B650E AORUS Master,"12,890.-"
63,64,ASUS TUF Gaming B650M-Plus WIFI,"7,890.-"
64,65,ASUS ROG Strix B650-A Gaming WIFI,"11,490.-"
65,66,ASRock X670E Pro RS,"12,100.-"
66,67,ASRock X670E Taichi,"19,715.-"
67,68,ASRock X670E Taichi Carrara,"21,250.-"
68,69,ASUS Prime X670-P-CSM,"9,390.-"
69,70,ASUS ROG Crosshair X670E Gene,"23,915.-"
70,71,ASUS ROG Crosshair X670E Hero,"27,150.-"
71,72,ASRock B650 LiveMixer,"9,300.-"
72,73,ASUS ROG Strix X670E-A Gaming WIFI,"16,465.-"
73,74,ASUS ROG Strix X670E-E Gaming WIFI,"21,090.-"
74,75,MSI B650-P WIFI,"8,000.-"
75,76,GIGABYTE Z790 Gaming X,"9,085.-"
76,77,GIGABYTE Z790 Gaming X,"9,075.-"
77,78,ASUS Prime H610M-E D4,"2,590.-"
78,79,GIGABYTE B650I Aorus Ultra,"12,400.-"
79,80,ASRock B660M Phantom Gaming 4,"3,650.-"
80,81,MSI MAG B650M Mortar WIFI,"9,500.-"
81,82,MSI B650M-P WIFI,"8,500.-"
82,83,GIGABYTE B650 Gaming X AX,"8,190.-"
83,84,GIGABYTE B650M AORUS Pro AX,"9,300.-"
84,85,ASRock B650 PG Lightning,"7,850.-"
85,86,ASRock B650 Pro RS,"8,050.-"
86,87,GIGABYTE B650 AORUS Elite,"8,300.-"
87,88,GIGABYTE B650 AORUS Elite AX,"10,000.-"
88,89,MSI Pro Z790-P WIFI,"9,900.-"
89,90,MSI Pro Z790-P WIFI DDR4,"9,600.-"
90,91,MSI Pro Z790-P DDR4,"8,890.-"
91,92,MSI Pro Z790-A WIFI,"11,200.-"
92,93,MSI Pro Z790-A WIFI DDR4,"10,800.-"
93,94,MSI MPG Z790I Edge WIFI,"14,100.-"
94,95,MSI MPG Z790 Edge WIFI,"16,900.-"
95,96,MSI MPG Z790 Edge WIFI DDR4,"16,200.-"
96,97,MSI MPG Z790 Carbon WIFI,"19,900.-"
97,98,MSI MEG Z790 Ace,"28,300.-"
98,99,MSI MAG Z790 Tomahawk WIFI,"12,650.-"
99,100,GIGABYTE Z790 AORUS Elite AX,"10,990.-"
